branching_types,n_end,k,uscat,device,dtype,density_dtype,density_device,uscat_dtype,uscat_device
a,3,2.8284271247461903,(0.8213351328054921-0.17356003757663746j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,3,4.0,(1.8362345387440824+0.5156385887638417j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,3,5.656854249492381,(-0.9918002714595064+0.46110649823704764j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,3,8.0,(0.651808918798242-1.3935315947216749j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,3,11.313708498984761,(-0.7317897322410274+1.1822881466291206j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,3,16.0,(1.2252256811065103+0.05939938401666105j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,3,22.627416997969522,(1.3994549368126274+0.557718579092262j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,3,32.0,(-1.3606215302779452-0.5250760300147922j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,3,45.254833995939045,(-0.39475784101152755-1.60947012751973j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,3,64.0,(-0.6210939667433857-1.5094001372180421j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,3,90.50966799187809,(1.1037458581729478-0.6899766540727007j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,3,128.0,(0.9703697036084236-0.9166239384050444j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,3,181.01933598375618,(-0.5906869299794327+1.2535614316587391j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,3,256.0,(-0.017303337574368333+1.4566755182937454j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,3,362.03867196751236,(1.1102493732661196+0.9457022840511332j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,3,512.0,(1.3399823681181067-0.13057055800757053j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,3,724.0773439350247,(-0.04316561913980884-1.4351530546007691j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,4,1.0,(-1.355217636498696-0.6573233924845587j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,4,1.4142135623730951,(-0.8787995655620167-2.184389032727389j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,4,2.0,(1.2228958602960391-1.1439685615266229j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,4,2.8284271247461903,(0.9638337598048381-0.1292911448537153j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,4,4.0,(1.3065300765605687+0.27917213166584987j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,4,5.656854249492381,(-0.8665037801935902+0.3654731235107679j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,4,8.0,(1.2803634669415045-1.6356972141709778j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,4,11.313708498984761,(-1.0925470027971347+1.0763752734690444j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,4,16.0,(1.2578559039258097+0.020534459229195848j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,4,22.627416997969522,(1.3957653590722767+0.5555359988878645j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,4,32.0,(-1.380890959886322-0.5316906802104735j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,4,45.254833995939045,(-0.5214981750615868-1.6709679328956972j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,4,64.0,(-0.7086049586375064-1.5101269149267444j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,4,90.50966799187809,(1.0408560368774964-0.6315730011544964j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,4,128.0,(0.9704216332689998-0.8352962935587956j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,4,181.01933598375618,(-0.6705150487115958+1.2513496783258624j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,4,256.0,(-0.013958888387077555+1.51842740439495j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,4,362.03867196751236,(1.116159527157279+0.9516138583271493j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,4,512.0,(1.3340327699206442-0.1632180580729103j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,4,724.0773439350247,(-0.048873554718161474-1.4718697273831451j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,5,1.0,(-1.3559111663498666-0.6577711312734433j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,5,1.4142135623730951,(-0.8771606738628105-2.1877138217151106j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,5,2.0,(1.2135573635445553-1.1261055120067018j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,5,2.8284271247461903,(0.966718511614894-0.17750427091192372j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,5,4.0,(1.2238866971067959+0.48794733258724843j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,5,5.656854249492381,(-1.0377037376271452+0.1280193193487632j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,5,8.0,(1.1293027868104915-1.9486500125138373j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,5,11.313708498984761,(-1.1356732827610423+1.1803426953390483j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,5,16.0,(1.0960561609380854-0.06404225456001306j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,5,22.627416997969522,(1.4532612283031296+0.3101195035371891j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,5,32.0,(-1.4148236463951687-0.3245407363881032j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,5,45.254833995939045,(-0.4390499818557163-1.8878988226704396j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,5,64.0,(-0.73482747057768-1.7081544466224707j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,5,90.50966799187809,(1.0616904606591855-0.6164244493893389j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,5,128.0,(0.9784919680993271-0.8391832194634148j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,5,181.01933598375618,(-0.6687704756933961+1.2281091375988602j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,5,256.0,(-0.07263967925318132+1.5276752450635374j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,5,362.03867196751236,(1.1855235163714757+0.9392170724490759j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,5,512.0,(1.313476238334974-0.15261630312320978j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,5,724.0773439350247,(-0.015482630268242282-1.484707774268567j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,6,1.0,(-1.3559303483467577-0.657809885095502j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,6,1.4142135623730951,(-0.8771410793911208-2.187979636817283j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,6,2.0,(1.2149417500426074-1.1252988052204436j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,6,2.8284271247461903,(0.9591653391810788-0.17617777882808514j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,6,4.0,(1.3009216016606078+0.5006406506533665j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,6,5.656854249492381,(-1.2282380397655175+0.3327008283578711j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,6,8.0,(1.6753000297535015-2.4817114968671743j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,6,11.313708498984761,(-1.5425305501386584+1.0094972396871422j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,6,16.0,(1.0788295073289254-0.023509367064771233j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,6,22.627416997969522,(1.3636521896272797+0.30977863061332567j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,6,32.0,(-1.3784984977549621-0.32598332544808184j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,6,45.254833995939045,(-0.6583112363490174-1.9633451463202651j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,6,64.0,(-0.8677404827709607-1.6843550651432162j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,6,90.50966799187809,(1.0002002754055899-0.5658743114073247j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,6,128.0,(0.9677796956159916-0.7607003379922914j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,6,181.01933598375618,(-0.7458326610637833+1.2110456027153442j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,6,256.0,(-0.07267139562299246+1.5889904017635064j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,6,362.03867196751236,(1.1854879943405443+0.9389777455895383j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,6,512.0,(1.3004029614218626-0.18208207617431954j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,6,724.0773439350247,(-0.020183446545264057-1.5163615999788593j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,7,1.0,(-1.3559331961601915-0.6578131178056235j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,7,1.4142135623730951,(-0.8771440908089121-2.187998568750318j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,7,2.0,(1.2150289047507454-1.1253355154846734j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,7,2.8284271247461903,(0.9593402655399372-0.17538542662792722j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,7,4.0,(1.300222237159909+0.4857447144531072j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,7,5.656854249492381,(-1.0810150823188764+0.3849487728548936j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,7,8.0,(0.2720947389972203-2.8011705629113655j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,7,11.313708498984761,(-1.6822123539951217+1.6692154191974837j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,7,16.0,(0.9748957814811399-0.0658859089619342j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,7,22.627416997969522,(1.3422034634277193+0.15132527817789512j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,7,32.0,(-1.3485427011659006-0.16148539800575964j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,7,45.254833995939045,(-0.5972239617505953-2.2065804167750294j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,7,64.0,(-0.9240059706057981-1.8982209874061173j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,7,90.50966799187809,(1.0186079363033171-0.5422955910306309j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,7,128.0,(0.9768220419193769-0.7591363409876002j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,7,181.01933598375618,(-0.7390827395456421+1.1865262546491806j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,7,256.0,(-0.13402109716929977+1.587172682968875j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,7,362.03867196751236,(1.2509172715059842+0.9157382880743352j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,7,512.0,(1.2747464391131769-0.17003627186460407j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,7,724.0773439350247,(0.014911900083404584-1.5209985159156774j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,8,1.0,(-1.3559333450671112-0.6578134161438554j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,8,1.4142135623730951,(-0.8771443103137013-2.188000167434031j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,8,2.0,(1.2150325155700605-1.1253398055426036j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,8,2.8284271247461903,(0.9594040178730497-0.17538524431560298j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,8,4.0,(1.2981222745439507+0.48579401004459644j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,8,5.656854249492381,(-1.0904586951052573+0.32943118413266925j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,8,8.0,(0.5430612701128525-1.8654103422786528j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,8,11.313708498984761,(-1.5352773174771701+1.6427644020116419j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,8,16.0,(0.9289393005294218+0.03698585644792109j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,8,22.627416997969522,(1.210436734841633+0.18187846940799884j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
