branching_types,n_end,k,n_balls,uscat,device,dtype,density_dtype,density_device,uscat_dtype,uscat_device
a,3,1,64,(-1.0567223395666465+0.021425674302664066j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,4,1,64,(-1.0547620665636324+0.0220121928263442j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,5,1,64,(-1.0537263086704887+0.021461884666376663j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,6,1,64,(-1.0537361972704935+0.021464218947986058j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,8,1,64,(-1.0537360105155544+0.021464237024084565j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,9,1,64,(-1.0537360056461105+0.021464235155121802j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,11,1,64,(-1.0537360056906655+0.02146423517307544j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,13,1,64,(-1.0537360056906637+0.021464235173077995j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,16,1,64,(-1.0537360056906606+0.021464235173087987j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,19,1,64,(-1.0537360056906595+0.02146423517309448j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,22,1,64,(-1.0537360056906573+0.02146423517308188j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,26,1,64,(-1.0537360056906566+0.021464235173083324j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,32,1,64,(-1.0537360056906557+0.021464235173086876j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,38,1,64,(-1.0537360056906544+0.021464235173088986j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,45,1,64,(-1.0537360056906544+0.021464235173088264j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,53,1,64,(-1.053736005690657+0.02146423517308066j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,64,1,64,(-1.0537360056906566+0.021464235173091484j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,76,1,64,(-1.0537360056906602+0.02146423517308016j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,90,1,64,(-1.0537360056906624+0.02146423517307422j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,1,1,256,(-1.9944646593892403+1.1610039246153008j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,2,1,256,(-0.7921111953150658-0.0010771844281251032j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,3,1,256,(-1.0015528927781667-0.0010976397633275879j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,4,1,256,(-0.9981433611745593-0.0011720123128607877j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,5,1,256,(-0.9986061024374314-0.0011081754029348464j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,6,1,256,(-0.9986095465415319-0.0011085157205404034j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,8,1,256,(-0.9986093438340089-0.0011085161005886081j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,9,1,256,(-0.9986093441226167-0.00110851584922763j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,11,1,256,(-0.998609344119082-0.001108515852009058j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,13,1,256,(-0.9986093441190845-0.0011085158520127633j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,16,1,256,(-0.9986093441190904-0.0011085158520078428j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,19,1,256,(-0.9986093441190874-0.0011085158520105238j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,22,1,256,(-0.9986093441190884-0.0011085158520193258j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,26,1,256,(-0.9986093441190972-0.0011085158520106218j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,32,1,256,(-0.9986093441190854-0.0011085158520158372j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,38,1,256,(-0.9986093441190903-0.001108515852014427j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,45,1,256,(-0.9986093441190884-0.001108515852012229j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,53,1,256,(-0.9986093441190892-0.0011085158520189268j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
