h,n_elements,uscat
0.5,456,(-0.7155302621022506-0.6837373543060021j)
0.2811706625951745,954,(-0.729556887690746-0.6763432595815532j)
0.15811388300841894,2516,(-0.7369269854808888-0.6722656627608995j)
0.08891397050194613,8034,(-0.7399650542046378-0.6704748637306301j)
0.049999999999999996,25120,(-0.7409057161886512-0.6699162109129861j)
