branching_types,n_end,uscat_norm
caa,1,(-0.3669624119433013-0.40697555875254243j),cpu,float64,complex128,cpu,complex128,cpu
caa,2,(-0.44076872289180896-0.4279663938583859j),cpu,float64,complex128,cpu,complex128,cpu
caa,3,(-0.45490115562643646-0.42320963989669524j),cpu,float64,complex128,cpu,complex128,cpu
caa,4,(-0.45466616151681216-0.42333644501392703j),cpu,float64,complex128,cpu,complex128,cpu
caa,5,(-0.45465930345348665-0.4233802750010047j),cpu,float64,complex128,cpu,complex128,cpu
bpbpa,1,(-0.48268993078657213-0.5353218691958108j),cpu,float64,complex128,cpu,complex128,cpu
bpbpa,2,(-0.43867395227225275-0.4259324668090023j),cpu,float64,complex128,cpu,complex128,cpu
bpbpa,3,(-0.45611488033891345-0.4232685001389423j),cpu,float64,complex128,cpu,complex128,cpu
bpbpa,4,(-0.45465723784068696-0.4233360573653887j),cpu,float64,complex128,cpu,complex128,cpu
bpbpa,5,(-0.4546614454547935-0.4233802528966869j),cpu,float64,complex128,cpu,complex128,cpu
bpbpa,6,(-0.4546508564935102-0.4233866476381165j),cpu,float64,complex128,cpu,complex128,cpu
bba,1,(-0.48268993078657213-0.5353218691958108j),cpu,float64,complex128,cpu,complex128,cpu
bba,2,(-0.4386739522722528-0.4259324668090023j),cpu,float64,complex128,cpu,complex128,cpu
bba,3,(-0.45611488033891345-0.4232685001389426j),cpu,float64,complex128,cpu,complex128,cpu
bba,4,(-0.45465723784068834-0.42333605736538926j),cpu,float64,complex128,cpu,complex128,cpu
bba,5,(-0.454661445454795-0.4233802528966883j),cpu,float64,complex128,cpu,complex128,cpu
bba,6,(-0.4546508564935605-0.4233866476381493j),cpu,float64,complex128,cpu,complex128,cpu
bpa,1,(-0.721263467464543-1.035771016852753j),cpu,float64,complex128,cpu,complex128,cpu
bpa,2,(-0.7080011204440768-0.6778131683044608j),cpu,float64,complex128,cpu,complex128,cpu
bpa,3,(-0.7457763906050542-0.6679929362532153j),cpu,float64,complex128,cpu,complex128,cpu
bpa,4,(-0.7412665615983112-0.6694083797300002j),cpu,float64,complex128,cpu,complex128,cpu
bpa,5,(-0.7413481835917404-0.6696324021686494j),cpu,float64,complex128,cpu,complex128,cpu
bpa,6,(-0.7413330133126981-0.6696574197990389j),cpu,float64,complex128,cpu,complex128,cpu
bpa,7,(-0.74133238189955-0.6696600520175926j),cpu,float64,complex128,cpu,complex128,cpu
bpa,8,(-0.7413322560072677-0.6696603482590474j),cpu,float64,complex128,cpu,complex128,cpu
bpa,9,(-0.7413322258368055-0.6696603861716904j),cpu,float64,complex128,cpu,complex128,cpu
ba,1,(nan+nanj),cpu,float64,complex128,cpu,complex128,cpu
ba,2,(-0.7080011204440769-0.6778131683044611j),cpu,float64,complex128,cpu,complex128,cpu
ba,3,(-0.7457763906050539-0.6679929362532154j),cpu,float64,complex128,cpu,complex128,cpu
ba,4,(-0.7412665615983121-0.6694083797299997j),cpu,float64,complex128,cpu,complex128,cpu
ba,5,(-0.7413481835917307-0.6696324021686515j),cpu,float64,complex128,cpu,complex128,cpu
ba,6,(-0.74133301331334-0.6696574197988229j),cpu,float64,complex128,cpu,complex128,cpu
ba,7,(-0.7413323819040156-0.6696600520169055j),cpu,float64,complex128,cpu,complex128,cpu
ba,8,(-0.7413322562750023-0.6696603481750854j),cpu,float64,complex128,cpu,complex128,cpu
ba,9,(-0.7413322427403564-0.6696603829149285j),cpu,float64,complex128,cpu,complex128,cpu
a,1,(-0.7009373613473742-1.0811585241050148j),cpu,float64,complex128,cpu,complex128,cpu
a,2,(-1.2724444176210574-0.6512232561781957j),cpu,float64,complex128,cpu,complex128,cpu
a,3,(-1.3533486331756501-0.6501711414856097j),cpu,float64,complex128,cpu,complex128,cpu
a,4,(-1.355217636498696-0.6573233924845587j),cpu,float64,complex128,cpu,complex128,cpu
a,5,(-1.3559111663498666-0.6577711312734433j),cpu,float64,complex128,cpu,complex128,cpu
a,6,(-1.3559303483467577-0.657809885095502j),cpu,float64,complex128,cpu,complex128,cpu
a,7,(-1.3559331961601915-0.6578131178056235j),cpu,float64,complex128,cpu,complex128,cpu
a,8,(-1.3559333450671112-0.6578134161438554j),cpu,float64,complex128,cpu,complex128,cpu
a,9,(-1.3559333609575988-0.6578134453800949j),cpu,float64,complex128,cpu,complex128,cpu
